"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000139178.11","ENSG00000139178.11",-1.53053388001405,6.31471052905557,211.951501004021,3.01973622389634e-39,9.66315591646828e-37
"ENSG00000170345.10","ENSG00000170345.10",-2.9323714409121,6.78097468344703,205.338921502096,2.80437304327512e-38,8.68451006949714e-36
"ENSG00000114698.15","ENSG00000114698.15",-1.76419007295547,3.99761479442969,202.718520178104,6.82697933538774e-38,2.04809380061632e-35
"ENSG00000249173.6","ENSG00000249173.6",-3.32416851048497,3.79311137935426,196.952171634738,4.90121037031664e-37,1.42580665318302e-34
"ENSG00000133800.9","ENSG00000133800.9",-2.74651098134529,3.11157986703281,196.31899679641,6.0924949326564e-37,1.72023386333828e-34
"ENSG00000233929.1","ENSG00000233929.1",-3.04305546293915,3.26187421499455,196.056993806589,6.66689760519841e-37,1.82863477171157e-34
"ENSG00000122971.9","ENSG00000122971.9",-1.65661977641154,6.89719380432991,185.148924220583,2.93789955335852e-35,7.83439880895605e-33
"ENSG00000107562.16","ENSG00000107562.16",-2.50128510501458,5.06079689235352,184.196579147157,4.10198333895717e-35,1.06429837983754e-32
"ENSG00000157557.13","ENSG00000157557.13",-1.54845708200791,6.78257663824585,182.64338183558,7.07786085811753e-35,1.78809116415601e-32
"ENSG00000148572.16","ENSG00000148572.16",-0.991178886380675,5.17870045348656,181.210219640548,1.17232577797572e-34,2.88572499194023e-32
"ENSG00000125740.14","ENSG00000125740.14",-3.08884125419939,4.46088986699208,180.087707136013,1.74205263620365e-34,4.18092632688876e-32
"ENSG00000196083.10","ENSG00000196083.10",-1.87468430252027,3.51208063398784,179.752255195155,1.96123075077217e-34,4.59215005058849e-32
"ENSG00000120738.8","ENSG00000120738.8",-2.46087120985966,7.16300194712987,178.794340326155,2.75206634871435e-34,6.29043736848994e-32
"ENSG00000136631.15","ENSG00000136631.15",1.10849034548533,3.68375219290106,180.218049508127,3.36140838470886e-34,7.50453964958256e-32
"ENSG00000142627.13","ENSG00000142627.13",-1.91782934120904,4.46904876228243,178.083410682498,3.54003267984972e-34,7.72370766512666e-32
"ENSG00000150656.15","ENSG00000150656.15",-3.12278222043836,2.82690387129493,176.105057103482,7.14481020107155e-34,1.5242261762286e-31
"ENSG00000112964.14","ENSG00000112964.14",-2.32436282188772,5.00368076993959,174.819741871817,1.12897259335675e-33,2.3561167165706e-31
"ENSG00000213398.8","ENSG00000213398.8",-2.42083632513705,6.14181600138712,173.831028915459,1.60627771526593e-33,3.28090767373466e-31
"ENSG00000136158.12","ENSG00000136158.12",-1.39598733859564,3.73914518263712,173.5745059348,1.76033121057838e-33,3.52066242115677e-31
"ENSG00000162407.9","ENSG00000162407.9",-1.54202635229337,5.60788779077769,173.079186586343,2.10107985079272e-33,4.1164013403286e-31
